file,org,doc_type,effective_date,applies_to,banned_uses,permitted_uses,phi_rule,disclosure_rule,assessment_rule,secure_tools_named,enforcement,aamc_alignment
raw/us-med-schools/albert-einstein--ai-tools-resources.md,Albert Einstein College of Medicine,guidance,,students;postdoctoral fellows;faculty;administrative staff,,"two institutionally approved GenAI tools for all full-time students, postdocs, payroll faculty, and select administration; API access for PIs via service request",none,,,OpenAI ChatGPT Edu;Microsoft CoPilot (enterprise; prompt/product data not shared outside Einstein),,no
raw/us-med-schools/baylor-cm--ethical-frontiers-genai-institutional-guidelines.md,Baylor College of Medicine,guidance,,clinicians,,,"Never sharing PHI, PII, or other confidential information with AI platforms without a Business Associate Agreement.",Transparency as foundational principle; clear disclosure about when and how AI is used in care; patient education alongside disclosure,,,,no
raw/us-med-schools/baylor-cm--md-student-handbook.md,Baylor College of Medicine,handbook section,,students,,,none,,,,,no
raw/us-med-schools/baylor-cm--surgery-clerkship-ai-guidance.pdf.md,Baylor College of Medicine,formal policy,2025-05,students,submitting work contributed to by AI for a course requirement or grade unless permitted in Course Overview Document;AI for medical documentation in the EHR;AI on written work designed to assess clinical reasoning or knowledge;inputting identifiable patient information into any AI tool,refining illness scripts during pre-rounding;broadening differential diagnosis prior to presenting;stimulating discussion during didactic exercises,inputting identifiable patient information into any AI tool is NOT allowed.,,no AI on written work specifically designed to assess a student's clinical reasoning or knowledge,Microsoft Copilot (BCM-recommended; BCM login keeps data out of model training),any prohibited use is grounds for an Honor Council investigation; Integrity Hotline reporting,"no (cites AAMC Core EPAs for curriculum, not AI principles)"
raw/us-med-schools/brown--provost-ai-resources-course-policy-tools.md,Brown University Office of the Provost,guidance,2026-08-18,faculty (course instructors),,AI Policy Explorer tool to articulate permitted/prohibited uses per course; example AI policies; Sheridan Center Teaching with AI portal,,,,,"every instructor must set a clear, explicit AI policy per course (provost expectation)",no
raw/us-med-schools/bu-chobanian--md-program-ai-use-policy.pdf.md,Boston University Chobanian & Avedisian School of Medicine,formal policy,2025-07-10,students (MD),"AI for clinical-practice note writing during training (students should develop skills);point-of-care management planning unless resource transparently validates evidence/bias/quality;AI as substitute for collaboration, discussion, patient communication",summarizing/clarifying complex concepts;generating practice questions;AI as tutor on faculty-provided materials;data-protected AI systems; AI as adjunct to foster deep learning,Patient information should never be put into any LLM or AI tool (including Terrier GPT) as they are not HIPAA compliant.,(none captured),,"Terrier GPT (BU platform, not HIPAA compliant per policy)",misuse of GenAI can lead to violations of university academic conduct policies; misrepresentation of accomplishments is misconduct under Code of Conduct,no
raw/us-med-schools/buffalo-jacobs--genai-use-policy-medical-students.md,University at Buffalo Jacobs School of Medicine and Biomedical Sciences,formal policy,2026-03-31,students,"submitting AI-generated work as original content in graded/clinical/evaluated assignments;using AI to generate H&P, progress note, or other clinical documentation;entering PHI or other patient identifiers into AI platforms;uploading institutional content into public or non-UBIT-approved platforms;bypassing reflective or experiential learning tasks (patient write-ups, narrative self-assessments);blanket faculty AI bans without Phase leadership approval","study aid and concept review;presentation preparation when explicitly permitted;course/clerkship tasks where explicitly allowed;clinical site-deployed tools (Epic-embedded AI, ambient documentation assistants) with supervising faculty approval;AI-assisted clinical support tools that do not receive PHI","AI tools must never be used to input, analyze, or transmit identifiable patient information.",use must be transparent and consistent with syllabus/faculty-mentor expectations,assessments only where use explicitly allowed by course/clerkship director,Microsoft Copilot (UBIT-login version);Semantic Clinical AI (SCAI) chatbot,"HIPAA violations can result in clerkship failure, Promotions Committee reporting, dismissal; violations reviewed under UB Academic Integrity Policy and Jacobs School Code of Professional Conduct",no
raw/us-med-schools/columbia-vagelos--ai-vps-initiative.md,Columbia University Vagelos College of Physicians and Surgeons,guidance,,clinicians;researchers,,,none,,,,,no
raw/us-med-schools/columbia-vagelos--ai-vps-resources.md,Columbia University Vagelos College of Physicians and Surgeons,guidance,,,,,none,,,,,no
raw/us-med-schools/columbia-vagelos--plagiarism-misrepresentation-policy.md,Columbia University Vagelos College of Physicians and Surgeons,formal policy,,students,use of Generative AI tools to complete an assignment or exam absent clear instructor permission,when instructor grants permission,none,any use of generative AI in work must be clearly cited,,,"Honor Code, Dean's Discipline, Academic Infraction Policies; students expected to comply with University Generative AI policy",no (cites LCME 3.5)
